id|entity_id |entity_type|alias
2000|62|university|nauchno-issledovatelskij-institut-vysshaya-shkola-ehkonomiki
2001|63|university|rossijskij-ehkonomicheskij-universitet-im-gvplekhanova
2002|64|university|sankt-peterburgskij-gosudarstvennyj-universitet
2003|66|university|rossijskaya-akademiya-narodnogo-hozyajstva-i-gosudarstvennoj-sluzhby-pri-prezidente-rf
2004|67|university|rossijskij-universitet-druzhby-narodov
2005|12|program|prikladnaya-matematika
2006|13|program|ehkonomika
2007|14|program|psihologiya
2008|15|program|prikladnaya-informatika-v-ehkonomike
2009|16|program|otechestvennaya-filologiya-russkij-yazyk-i-literatura
2010|18|program|reklama-i-svyazi-s-obshchestvennosty
2011|19|program|dizajn-socio-kulturnyh-obektov
